MES;CLIENTE;NRO_VEC_COB;PDPs_ROTAS;ESTADO_PDP;NRO_CUOTAS;MES_0;MES_1;MES_2;FECHALLAMADA;HORA;DEUDA_TOTAL;ESTATUS;ACTIVACION;MORA;TIPOCONTACTO
201402;C00078;>10;0;0;<24, 48];123.64;651.18;1095.72;11/02/2014;12.0;19009.7;BT;2011.0;1.0;COEF
201402;C00080;>10;0;0;>48;1642.75;0.0;0.0;06/02/2014;17.0;12496.0;BT;2012.0;0.0;CNE
201402;C00081;;0;0;<24, 48];253.19;253.0;254.08;26/02/2014;16.0;2739.17;BT;2012.0;1.0;CNE
201402;C00082;>10;0;0;>48;457.07;922.7;1393.47;07/02/2014;14.0;10292.9;BT;2012.0;1.0;CNE
201402;C00083;>10;0;0;<24, 48];108.91;0.0;0.0;11/02/2014;7.0;1577.7;BT;2012.0;1.0;COEF
201402;C00084;<=10;>0;0;<24, 48];348.65;348.65;0.0;27/02/2014;8.0;4922.87;BT;2011.0;1.0;COEF
201402;C00085;;0;0;<24, 48];230.48;228.77;232.68;06/02/2014;20.0;3037.76;BT;2012.0;1.0;COEF
201402;C00087;>10;0;0;<24, 48];321.87;198.05;228.74;05/02/2014;12.0;8117.28;BT;2011.0;1.0;CNE
201402;C00088;<=10;0;0;>48;859.02;1725.94;0.0;07/02/2014;9.0;24734.5;BT;2013.0;1.0;COEF
201402;C00089;>10;0;0;>48;120.89;120.97;121.0;12/02/2014;9.0;1486.35;BT;2011.0;1.0;CNE
201402;C00090;>10;0;0;<24, 48];266.61;0.0;0.0;06/02/2014;12.0;1034.77;BT;2011.0;1.0;COEF
201402;C00091;;0;0;<24, 48];426.16;425.53;0.0;14/02/2014;11.0;2810.4;BT;2011.0;1.0;COEF
201402;C00092;<=10;0;0;<24, 48];1898.43;0.0;0.0;05/02/2014;16.0;12572.7;BT;2011.0;0.0;COEF
201402;C00093;>10;0;0;;366.64;366.16;362.61;04/02/2014;7.0;1042.37;BT;2011.0;1.0;COEF
201402;C00094;<=10;0;0;>48;461.3;460.51;0.0;13/02/2014;9.0;7044.12;BT;2011.0;1.0;CNE
201402;C00095;<=10;0;0;>48;1839.93;1899.59;0.0;05/02/2014;18.0;62973.1;BT;2013.0;1.0;CNE
201402;C00096;>10;>0;0;>48;455.28;0.0;;14/02/2014;12.0;9310.3;BT;2012.0;1.0;COEF
201402;C00099;<=10;0;0;<24, 48];2540.53;0.0;0.0;07/02/2014;14.0;47253.7;BT;2011.0;1.0;CNE
201402;C00100;>10;0;0;>48;1494.37;1424.89;0.0;04/02/2014;17.0;51194.3;BT;2011.0;1.0;COEF
201402;C00101;<=10;0;0;;2447.99;0.0;137.21;04/02/2014;9.0;73059.9;BT;2013.0;1.0;COEF
201402;C00102;<=10;0;0;<24, 48];165.8;0.0;0.0;25/02/2014;10.0;14537.4;BT;2013.0;1.0;CNE
201402;C00103;<=10;>0;0;>48;2664.09;0.0;0.0;28/02/2014;20.0;49529.6;BT;2013.0;0.0;CNE
201402;C00104;>10;0;0;>48;138.89;108.32;;03/02/2014;15.0;3990.31;BT;2011.0;1.0;CNE
201402;C00105;;0;0;<24, 48];184.62;0.0;174.0;06/02/2014;8.0;5361.23;BT;2013.0;1.0;CNE
201402;C00106;<=10;0;0;;877.75;0.52;0.0;04/02/2014;14.0;25731.5;BT;2013.0;1.0;COEF
201402;C00107;;0;0;<24, 48];2479.12;0.0;0.0;20/02/2014;17.0;24952.8;BT;2012.0;0.0;CNE
201402;C00108;;0;0;<24, 48];438.61;0.0;;04/02/2014;7.0;10213.0;BT;2012.0;1.0;COEF
201402;C00109;<=10;0;0;>48;1227.91;0.0;0.0;03/02/2014;8.0;45741.0;BT;2013.0;1.0;CNE
201402;C00110;<=10;0;0;>48;317.91;0.0;358.43;25/02/2014;8.0;6662.66;BT;2012.0;1.0;CNE
201402;C00111;<=10;0;0;<=24;315.33;633.91;956.46;11/02/2014;9.0;3196.97;BT;2013.0;1.0;CNE
201402;C00112;;>0;0;>48;1219.04;0.0;0.0;27/02/2014;7.0;4069.57;BT;2010.0;0.0;COEF
201402;C00113;;0;0;>48;42.17;304.87;50.9;11/02/2014;15.0;5109.12;BT;2011.0;1.0;CNE
201402;C00114;<=10;0;0;<24, 48];990.14;0.0;0.0;12/02/2014;14.0;28213.8;BT;2013.0;1.0;CNE
201402;C00116;<=10;>0;0;<24, 48];301.82;82.91;303.95;14/02/2014;14.0;4285.29;BT;2012.0;1.0;CNE
201402;C00117;>10;>0;0;<24, 48];804.7;939.91;108.24;13/02/2014;16.0;22292.0;BT;2012.0;1.0;COEF
201402;C00118;;0;0;<24, 48];636.92;638.95;1281.45;10/02/2014;7.0;16359.7;BT;2012.0;1.0;COEF
201402;C00121;<=10;0;0;<=24;630.6;636.63;0.0;20/02/2014;18.0;629.93;BT;2013.0;0.0;CNE
201402;C00122;;0;0;<24, 48];775.63;772.88;1163.29;18/02/2014;19.0;4533.27;BT;2011.0;0.0;CNE
201402;C00123;>10;0;0;>48;435.02;434.94;0.0;18/02/2014;12.0;7286.48;BT;2011.0;1.0;CNE
201402;C00124;<=10;0;0;<24, 48];1409.41;0.0;0.0;21/02/2014;17.0;12255.2;BT;2013.0;0.0;CNE
201402;C00125;;0;0;<24, 48];845.4;845.57;842.01;12/02/2014;16.0;11482.9;BT;2011.0;1.0;COEF
201402;C00126;<=10;0;0;<24, 48];38.64;0.0;0.0;05/02/2014;7.0;4879.99;BT;2013.0;1.0;COEF
201402;C00128;;0;0;<24, 48];183.05;0.0;1443.78;07/02/2014;12.0;45493.5;BT;2013.0;1.0;COEF
201402;C00129;<=10;>0;0;<=24;1647.43;605.73;1218.41;12/02/2014;10.0;10177.2;BT;2013.0;0.0;COEF
201402;C00130;<=10;>0;0;>48;3133.46;0.0;0.0;28/02/2014;18.0;32661.3;BT;2013.0;0.0;CNE
201402;C00131;<=10;0;0;<24, 48];205.89;0.0;0.0;07/02/2014;9.0;10143.5;BT;2012.0;1.0;COEF
201402;C00132;<=10;0;0;<24, 48];777.96;777.4;0.0;19/02/2014;7.0;23721.2;BT;2013.0;1.0;COEF
201402;C00133;;0;0;>48;168.29;0.0;;05/02/2014;14.0;22581.8;BT;2013.0;1.0;CNE
201402;C00135;;0;0;<24, 48];683.01;0.0;0.0;18/02/2014;12.0;16507.1;BT;2013.0;1.0;COEF
201402;C00136;>10;0;0;<24, 48];116.91;0.0;130.98;03/02/2014;15.0;1637.96;BT;2012.0;1.0;COEF
201402;C00137;<=10;0;0;<=24;506.22;0.0;;03/02/2014;12.0;4218.25;BT;2013.0;1.0;COEF
201402;C00139;<=10;>0;0;<24, 48];248.47;329.63;164.38;27/02/2014;16.0;2891.52;BT;2012.0;0.0;COEF
201402;C00141;<=10;0;0;>48;310.15;506.6;0.0;11/02/2014;7.0;10440.7;BT;2012.0;1.0;COEF
201402;C00142;>10;0;0;>48;553.72;316.99;109.39;11/02/2014;7.0;18274.9;BT;2011.0;1.0;COEF
201402;C00143;;0;0;;2587.07;0.0;0.0;05/02/2014;13.0;12707.2;BT;2011.0;0.0;CNE
201402;C00145;<=10;>0;0;<24, 48];356.02;356.02;0.0;18/02/2014;11.0;9343.63;BT;2013.0;1.0;COEF
201402;C00146;>10;0;0;>48;291.87;786.27;;05/02/2014;17.0;17007.6;BT;2012.0;1.0;CNE
201402;C00147;<=10;>0;0;<=24;92.65;188.08;377.94;12/02/2014;9.0;2689.35;BT;2013.0;1.0;COEF
201402;C00148;;0;0;<24, 48];261.01;257.8;0.0;03/02/2014;14.0;1191.74;BT;2011.0;1.0;CNE
201402;C00150;>10;0;0;<24, 48];197.49;2.12;186.62;17/02/2014;13.0;4601.97;BT;2012.0;1.0;COEF
201402;C00151;>10;0;0;<24, 48];397.36;0.0;0.0;06/02/2014;14.0;8023.8;BT;2012.0;1.0;CNE
201402;C00152;;0;0;;196.64;0.0;313.34;03/02/2014;15.0;8184.78;BT;2013.0;1.0;COEF
201402;C00154;<=10;0;0;<=24;735.42;740.86;0.0;21/02/2014;19.0;734.65;BT;2013.0;0.0;CNE
201402;C00155;<=10;0;0;;566.45;0.0;0.0;07/02/2014;9.0;14458.9;BT;2012.0;1.0;COEF
201402;C00157;<=10;0;0;>48;407.92;0.0;0.0;25/02/2014;10.0;9920.25;BT;2013.0;0.0;CNE
201402;C00158;>10;0;0;<24, 48];276.88;0.0;0.0;03/02/2014;13.0;5718.96;BT;2011.0;1.0;COEF
201402;C00159;;0;0;>48;983.64;0.0;0.0;19/02/2014;18.0;44066.8;BT;2012.0;1.0;COEF
201402;C00160;;0;0;<24, 48];1297.78;0.0;0.0;06/02/2014;11.0;9145.02;BT;2013.0;0.0;CNE
201402;C00162;<=10;0;0;>48;321.57;321.69;221.48;06/02/2014;14.0;7562.75;BT;2012.0;1.0;COEF
201402;C00164;<=10;0;0;<24, 48];735.15;0.0;0.0;20/02/2014;8.0;4815.32;BT;2013.0;0.0;COEF
201402;C00165;>10;0;0;<24, 48];300.04;300.59;300.83;05/02/2014;9.0;5388.72;BT;2011.0;1.0;COEF
